Send Time,Send message,Received Time,Received message
49:13.979,418:Hi,49:14.035,418:Hi
49:14.183,419:Hi,49:14.244,419:Hi
49:14.389,420:Hi,49:14.443,420:Hi
49:14.595,421:Hi,49:14.663,421:Hi
49:14.796,422:Hi,49:14.858,422:Hi
49:14.997,423:Hi,49:15.056,423:Hi
49:15.202,424:Hi,49:15.261,424:Hi
49:15.403,425:Hi,49:15.461,425:Hi
49:15.603,426:Hi,49:15.661,426:Hi
49:15.806,427:Hi,49:15.862,427:Hi
49:16.011,428:Hi,49:16.065,428:Hi
49:16.212,429:Hi,49:16.270,429:Hi
49:16.419,430:Hi,49:16.480,430:Hi
49:16.623,431:Hi,49:16.683,431:Hi
49:16.826,432:Hi,49:16.883,432:Hi
49:17.029,433:Hi,49:17.086,433:Hi
49:17.230,434:Hi,49:17.293,434:Hi
49:17.431,435:Hi,49:17.485,435:Hi
49:17.633,436:Hi,49:17.690,436:Hi
49:17.836,437:Hi,49:17.895,437:Hi
49:18.042,438:Hi,49:18.101,438:Hi
49:18.244,439:Hi,49:18.304,439:Hi
49:18.444,440:Hi,49:18.499,440:Hi
49:18.649,441:Hi,49:18.711,441:Hi
49:18.852,442:Hi,49:18.914,442:Hi
49:19.054,443:Hi,49:19.109,443:Hi
49:19.262,444:Hi,49:19.317,444:Hi
49:19.465,445:Hi,49:19.521,445:Hi
49:19.668,446:Hi,49:19.725,446:Hi
49:19.868,447:Hi,49:19.926,447:Hi
49:20.070,448:Hi,49:20.126,448:Hi
49:20.271,449:Hi,49:20.325,449:Hi
49:20.472,450:Hi,49:20.535,450:Hi
49:20.676,451:Hi,49:20.739,451:Hi
49:20.878,452:Hi,49:20.934,452:Hi
49:21.083,453:Hi,49:21.140,453:Hi
49:21.284,454:Hi,49:21.344,454:Hi
49:21.484,455:Hi,49:21.540,455:Hi
49:21.684,456:Hi,49:21.747,456:Hi
49:21.889,457:Hi,49:21.947,457:Hi
49:22.095,458:Hi,49:22.151,458:Hi
49:22.299,459:Hi,49:22.354,459:Hi
49:22.502,460:Hi,49:22.557,460:Hi
49:22.703,461:Hi,49:22.760,461:Hi
49:22.908,462:Hi,49:22.962,462:Hi
49:23.111,463:Hi,49:23.173,463:Hi
49:23.311,464:Hi,49:23.369,464:Hi
49:23.512,465:Hi,49:23.568,465:Hi
49:23.713,466:Hi,49:23.781,466:Hi
49:23.914,467:Hi,49:23.975,467:Hi
49:24.119,468:Hi,49:24.176,468:Hi
49:24.321,469:Hi,49:24.380,469:Hi
49:24.521,470:Hi,49:24.578,470:Hi
49:24.726,471:Hi,49:24.782,471:Hi
49:24.931,472:Hi,49:24.994,472:Hi
49:25.131,473:Hi,49:25.191,473:Hi
49:25.334,474:Hi,49:25.393,474:Hi
49:25.536,475:Hi,49:25.593,475:Hi
49:25.741,476:Hi,49:25.799,476:Hi
49:25.942,477:Hi,49:26.000,477:Hi
49:26.145,478:Hi,49:26.209,478:Hi
49:26.347,479:Hi,49:26.403,479:Hi
49:26.549,480:Hi,49:26.608,480:Hi
49:26.751,481:Hi,49:26.807,481:Hi
49:26.951,482:Hi,49:27.009,482:Hi
49:27.153,483:Hi,49:27.213,483:Hi
49:27.354,484:Hi,49:27.408,484:Hi
49:27.558,485:Hi,49:27.618,485:Hi
49:27.763,486:Hi,49:27.815,486:Hi
49:27.967,487:Hi,49:28.027,487:Hi
49:28.169,488:Hi,49:28.224,488:Hi
49:28.373,489:Hi,49:28.430,489:Hi
49:28.575,490:Hi,49:28.631,490:Hi
49:28.776,491:Hi,49:28.842,491:Hi
49:28.976,492:Hi,49:29.037,492:Hi
49:29.178,493:Hi,49:29.233,493:Hi
49:29.384,494:Hi,49:29.443,494:Hi
49:29.587,495:Hi,49:29.647,495:Hi
49:29.794,496:Hi,49:29.855,496:Hi
49:29.997,497:Hi,49:30.053,497:Hi
49:30.201,498:Hi,49:30.257,498:Hi
49:30.401,499:Hi,49:30.457,499:Hi
49:30.607,500:Hi,49:30.672,500:Hi
49:30.809,501:Hi,49:30.868,501:Hi
49:31.011,502:Hi,49:31.069,502:Hi
49:31.214,503:Hi,49:31.278,503:Hi
49:31.419,504:Hi,49:31.476,504:Hi
49:31.623,505:Hi,49:31.697,505:Hi
49:31.827,506:Hi,49:31.885,506:Hi
49:32.032,507:Hi,49:32.089,507:Hi
49:32.236,508:Hi,49:32.295,508:Hi
49:32.437,509:Hi,49:32.492,509:Hi
49:32.637,510:Hi,49:32.692,510:Hi
49:32.840,511:Hi,49:32.897,511:Hi
49:33.045,512:Hi,49:33.103,512:Hi
49:33.248,513:Hi,49:33.305,513:Hi
49:33.451,514:Hi,49:33.509,514:Hi
49:33.652,515:Hi,49:33.707,515:Hi
49:33.855,516:Hi,49:33.912,516:Hi
49:34.060,517:Hi,49:34.117,517:Hi
49:34.263,518:Hi,49:34.323,518:Hi
49:34.466,519:Hi,49:34.536,519:Hi
49:34.667,520:Hi,49:34.723,520:Hi
49:34.874,521:Hi,49:34.929,521:Hi
49:35.078,522:Hi,49:35.139,522:Hi
49:35.283,523:Hi,49:35.344,523:Hi
49:35.486,524:Hi,49:35.541,524:Hi
49:35.691,525:Hi,49:35.747,525:Hi
49:35.898,526:Hi,49:35.954,526:Hi
49:36.102,527:Hi,49:36.165,527:Hi
49:36.307,528:Hi,49:36.363,528:Hi
49:36.512,529:Hi,49:36.575,529:Hi
49:36.712,530:Hi,49:36.768,530:Hi
49:36.917,531:Hi,49:36.977,531:Hi
49:37.119,532:Hi,49:37.185,532:Hi
49:37.322,533:Hi,49:37.378,533:Hi
49:37.525,534:Hi,49:37.580,534:Hi
49:37.730,535:Hi,49:37.796,535:Hi
49:37.933,536:Hi,49:37.991,536:Hi
49:38.137,537:Hi,49:38.201,537:Hi
49:38.340,538:Hi,49:38.399,538:Hi
49:38.544,539:Hi,49:38.601,539:Hi
49:38.749,540:Hi,49:38.815,540:Hi
49:38.955,541:Hi,49:39.013,541:Hi
49:39.159,542:Hi,49:39.218,542:Hi
49:39.360,543:Hi,49:39.417,543:Hi
49:39.561,544:Hi,49:39.628,544:Hi
49:39.761,545:Hi,49:39.823,545:Hi
49:39.965,546:Hi,49:40.032,546:Hi
49:40.168,547:Hi,49:40.226,547:Hi
49:40.373,548:Hi,49:40.433,548:Hi
49:40.577,549:Hi,49:40.636,549:Hi
49:40.780,550:Hi,49:40.840,550:Hi
49:40.985,551:Hi,49:41.040,551:Hi
49:41.185,552:Hi,49:41.245,552:Hi
49:41.392,553:Hi,49:41.447,553:Hi
49:41.596,554:Hi,49:41.655,554:Hi
49:41.800,555:Hi,49:41.867,555:Hi
49:42.003,556:Hi,49:42.068,556:Hi
49:42.204,557:Hi,49:42.263,557:Hi
49:42.408,558:Hi,49:42.475,558:Hi
49:42.610,559:Hi,49:42.669,559:Hi
49:42.813,560:Hi,49:42.874,560:Hi
49:43.014,561:Hi,49:43.075,561:Hi
49:43.218,562:Hi,49:43.274,562:Hi
49:43.418,563:Hi,49:43.473,563:Hi
49:43.622,564:Hi,49:43.677,564:Hi
49:43.826,565:Hi,49:43.881,565:Hi
49:44.031,566:Hi,49:44.085,566:Hi
49:44.233,567:Hi,49:44.290,567:Hi
49:44.445,568:Hi,49:44.504,568:Hi
