Send Time,Send message,Received Time,Received message
50:38.246,833:Hi,50:38.303,833:Hi
50:38.451,834:Hi,50:38.509,834:Hi
50:38.653,835:Hi,50:38.710,835:Hi
50:38.858,836:Hi,50:38.917,836:Hi
50:39.059,837:Hi,50:39.122,837:Hi
50:39.261,838:Hi,50:39.327,838:Hi
50:39.462,839:Hi,50:39.525,839:Hi
50:39.663,840:Hi,50:39.720,840:Hi
50:39.866,841:Hi,50:39.937,841:Hi
50:40.069,842:Hi,50:40.126,842:Hi
50:40.273,843:Hi,50:40.328,843:Hi
50:40.476,844:Hi,50:40.538,844:Hi
50:40.676,845:Hi,50:40.729,845:Hi
50:40.877,846:Hi,50:40.932,846:Hi
50:41.083,847:Hi,50:41.139,847:Hi
50:41.288,848:Hi,50:41.344,848:Hi
50:41.491,849:Hi,50:41.547,849:Hi
50:41.693,850:Hi,50:41.759,850:Hi
50:41.897,851:Hi,50:41.958,851:Hi
50:42.097,852:Hi,50:42.151,852:Hi
50:42.298,853:Hi,50:42.358,853:Hi
50:42.501,854:Hi,50:42.559,854:Hi
50:42.702,855:Hi,50:42.755,855:Hi
50:42.903,856:Hi,50:42.961,856:Hi
50:43.108,857:Hi,50:43.164,857:Hi
50:43.310,858:Hi,50:43.370,858:Hi
50:43.514,859:Hi,50:43.571,859:Hi
50:43.717,860:Hi,50:43.777,860:Hi
50:43.917,861:Hi,50:43.981,861:Hi
50:44.123,862:Hi,50:44.190,862:Hi
50:44.327,863:Hi,50:44.389,863:Hi
50:44.529,864:Hi,50:44.594,864:Hi
50:44.729,865:Hi,50:44.801,865:Hi
50:44.935,866:Hi,50:44.999,866:Hi
50:45.135,867:Hi,50:45.197,867:Hi
50:45.339,868:Hi,50:45.396,868:Hi
50:45.543,869:Hi,50:45.600,869:Hi
50:45.743,870:Hi,50:45.799,870:Hi
50:45.943,871:Hi,50:46.002,871:Hi
50:46.149,872:Hi,50:46.210,872:Hi
50:46.350,873:Hi,50:46.410,873:Hi
50:46.551,874:Hi,50:46.609,874:Hi
50:46.750,875:Hi,50:46.807,875:Hi
50:46.953,876:Hi,50:47.011,876:Hi
50:47.155,877:Hi,50:47.212,877:Hi
50:47.359,878:Hi,50:47.418,878:Hi
50:47.563,879:Hi,50:47.619,879:Hi
50:47.768,880:Hi,50:47.828,880:Hi
50:47.973,881:Hi,50:48.030,881:Hi
50:48.176,882:Hi,50:48.235,882:Hi
50:48.378,883:Hi,50:48.433,883:Hi
50:48.581,884:Hi,50:48.638,884:Hi
50:48.787,885:Hi,50:48.842,885:Hi
50:48.989,886:Hi,50:49.046,886:Hi
50:49.194,887:Hi,50:49.252,887:Hi
50:49.399,888:Hi,50:49.455,888:Hi
50:49.602,889:Hi,50:49.665,889:Hi
50:49.803,890:Hi,50:49.860,890:Hi
50:50.004,891:Hi,50:50.060,891:Hi
50:50.207,892:Hi,50:50.273,892:Hi
50:50.411,893:Hi,50:50.468,893:Hi
50:50.615,894:Hi,50:50.674,894:Hi
50:50.816,895:Hi,50:50.876,895:Hi
50:51.023,896:Hi,50:51.086,896:Hi
50:51.223,897:Hi,50:51.289,897:Hi
50:51.429,898:Hi,50:51.493,898:Hi
50:51.631,899:Hi,50:51.690,899:Hi
50:51.831,900:Hi,50:51.888,900:Hi
50:52.035,901:Hi,50:52.093,901:Hi
50:52.236,902:Hi,50:52.291,902:Hi
50:52.439,903:Hi,50:52.540,903:Hi
50:52.641,904:Hi,50:52.697,904:Hi
50:52.843,905:Hi,50:52.901,905:Hi
50:53.049,906:Hi,50:53.107,906:Hi
50:53.250,907:Hi,50:53.309,907:Hi
50:53.453,908:Hi,50:53.512,908:Hi
50:53.657,909:Hi,50:53.718,909:Hi
50:53.860,910:Hi,50:53.915,910:Hi
50:54.066,911:Hi,50:54.121,911:Hi
50:54.266,912:Hi,50:54.325,912:Hi
50:54.469,913:Hi,50:54.529,913:Hi
50:54.673,914:Hi,50:54.729,914:Hi
50:54.878,915:Hi,50:54.935,915:Hi
50:55.080,916:Hi,50:55.142,916:Hi
50:55.283,917:Hi,50:55.340,917:Hi
50:55.483,918:Hi,50:55.542,918:Hi
50:55.686,919:Hi,50:55.744,919:Hi
50:55.891,920:Hi,50:55.945,920:Hi
50:56.093,921:Hi,50:56.150,921:Hi
50:56.294,922:Hi,50:56.352,922:Hi
50:56.497,923:Hi,50:56.554,923:Hi
50:56.701,924:Hi,50:56.760,924:Hi
50:56.901,925:Hi,50:56.958,925:Hi
50:57.102,926:Hi,50:57.158,926:Hi
50:57.306,927:Hi,50:57.365,927:Hi
50:57.511,928:Hi,50:57.566,928:Hi
50:57.713,929:Hi,50:57.777,929:Hi
50:57.918,930:Hi,50:57.975,930:Hi
50:58.118,931:Hi,50:58.178,931:Hi
50:58.322,932:Hi,50:58.379,932:Hi
50:58.526,933:Hi,50:58.591,933:Hi
50:58.727,934:Hi,50:58.781,934:Hi
50:58.930,935:Hi,50:58.986,935:Hi
50:59.133,936:Hi,50:59.187,936:Hi
50:59.336,937:Hi,50:59.399,937:Hi
50:59.549,938:Hi,50:59.607,938:Hi
50:59.752,939:Hi,50:59.812,939:Hi
50:59.957,940:Hi,51:00.022,940:Hi
51:00.159,941:Hi,51:00.224,941:Hi
51:00.363,942:Hi,51:00.421,942:Hi
51:00.567,943:Hi,51:00.633,943:Hi
51:00.768,944:Hi,51:00.824,944:Hi
51:00.973,945:Hi,51:01.031,945:Hi
51:01.177,946:Hi,51:01.240,946:Hi
51:01.381,947:Hi,51:01.442,947:Hi
51:01.582,948:Hi,51:01.645,948:Hi
51:01.783,949:Hi,51:01.844,949:Hi
51:01.984,950:Hi,51:02.048,950:Hi
51:02.191,951:Hi,51:02.252,951:Hi
51:02.392,952:Hi,51:02.450,952:Hi
51:02.593,953:Hi,51:02.651,953:Hi
51:02.798,954:Hi,51:02.857,954:Hi
51:03.000,955:Hi,51:03.058,955:Hi
51:03.205,956:Hi,51:03.262,956:Hi
51:03.409,957:Hi,51:03.463,957:Hi
51:03.612,958:Hi,51:03.733,958:Hi
51:03.813,959:Hi,51:03.866,959:Hi
51:04.013,960:Hi,51:04.068,960:Hi
51:04.215,961:Hi,51:04.275,961:Hi
51:04.420,962:Hi,51:04.475,962:Hi
51:04.620,963:Hi,51:04.677,963:Hi
51:04.823,964:Hi,51:04.880,964:Hi
51:05.026,965:Hi,51:05.083,965:Hi
51:05.230,966:Hi,51:05.291,966:Hi
51:05.431,967:Hi,51:05.486,967:Hi
51:05.633,968:Hi,51:05.694,968:Hi
51:05.833,969:Hi,51:05.892,969:Hi
51:06.037,970:Hi,51:06.098,970:Hi
51:06.239,971:Hi,51:06.303,971:Hi
51:06.442,972:Hi,51:06.502,972:Hi
51:06.646,973:Hi,51:06.700,973:Hi
51:06.849,974:Hi,51:06.904,974:Hi
51:07.050,975:Hi,51:07.107,975:Hi
51:07.252,976:Hi,51:07.310,976:Hi
51:07.457,977:Hi,51:07.510,977:Hi
51:07.662,978:Hi,51:07.721,978:Hi
51:07.863,979:Hi,51:07.923,979:Hi
51:08.065,980:Hi,51:08.125,980:Hi
51:08.270,981:Hi,51:08.328,981:Hi
51:08.471,982:Hi,51:08.526,982:Hi
51:08.672,983:Hi,51:08.730,983:Hi
51:08.876,984:Hi,51:08.937,984:Hi
51:09.078,985:Hi,51:09.134,985:Hi
51:09.280,986:Hi,51:09.339,986:Hi
51:09.482,987:Hi,51:09.556,987:Hi
51:09.682,988:Hi,51:09.744,988:Hi
51:09.885,989:Hi,51:09.942,989:Hi
51:10.085,990:Hi,51:10.143,990:Hi
51:10.289,991:Hi,51:10.344,991:Hi
51:10.493,992:Hi,51:10.554,992:Hi
51:10.697,993:Hi,51:10.760,993:Hi
51:10.899,994:Hi,51:10.957,994:Hi
51:11.100,995:Hi,51:11.160,995:Hi
51:11.301,996:Hi,51:11.358,996:Hi
51:11.502,997:Hi,51:11.560,997:Hi
51:11.705,998:Hi,51:11.760,998:Hi
51:11.908,999:Hi,51:11.977,999:Hi
