start,0,0
start,1705467170.1783075,0.0
start,1705467171.2281525,0.0
start,1705467172.1773934,0.0
end,1705467172.7109928,0
start,1705467173.1779666,0.0
end,1705467173.760946,0
start,1705467174.227101,8.28
end,1705467174.7626452,8.28
start,1705467175.2103565,9.1
end,1705467175.8894966,9.1
start,1705467177.2266915,10.38
end,1705467176.693147,9.75
start,1705467178.1763933,11.07
end,1705467177.7296016,10.38
start,1705467179.1758468,12.21
end,1705467178.643131,11.07
start,1705467180.2314234,13.56
end,1705467179.675946,12.21
start,1705467181.1762295,14.73
end,1705467180.9006183,13.56
start,1705467182.1907969,15.23
end,1705467182.7419536,15.23
start,1705467183.2414284,15.49
end,1705467182.7419536,15.23
start,1705467184.1748297,15.65
end,1705467184.6912231,15.65
start,1705467185.1742136,15.88
end,1705467185.707478,15.88
start,1705467186.2405984,16.12
end,1705467186.7437088,16.12
start,1705467187.1741352,16.24
end,1705467187.6573668,16.24
start,1705467188.191893,16.43
end,1705467188.6900845,16.43
start,1705467190.176575,16.92
end,1705467189.7066274,16.59
start,1705467191.189341,16.9
end,1705467190.8732505,16.92
start,1705467192.239412,17.04
end,1705467191.6555152,16.9
start,1705467193.173574,16.93
end,1705467192.7728622,17.04
start,1705467194.1899867,17.08
end,1705467194.7225246,17.08
start,1705467195.2391422,17.25
end,1705467195.7549405,17.25
start,1705467196.1722865,17.51
end,1705467195.7549405,17.25
start,1705467197.19054,17.97
end,1705467197.6883504,17.97
start,1705467199.1722443,18.98
end,1705467198.7216485,18.56
start,1705467200.187746,19.14
end,1705467200.1579182,18.98
start,1705467201.2033634,19.24
end,1705467200.6698759,19.14
start,1705467202.170498,19.11
end,1705467201.687787,19.24
start,1705467203.1869469,19.11
end,1705467202.8467104,19.11
start,1705467204.2033794,18.95
end,1705467203.737077,19.11
start,1705467205.16995,18.79
end,1705467205.6859539,18.79
start,1705467206.1864085,18.63
end,1705467206.811011,18.63
start,1705467207.2361174,18.48
end,1705467207.736014,18.48
start,1705467208.1700764,18.36
end,1705467208.652506,18.36
start,1705467209.1857731,18.35
end,1705467209.8804462,18.35
start,1705467211.168385,18.5
end,1705467210.7016923,18.45
start,1705467212.1850057,18.41
end,1705467211.7182,18.5
start,1705467213.2015169,18.57
end,1705467212.8515933,18.41
start,1705467214.168074,18.79
end,1705467213.6684983,18.57
start,1705467215.2175267,18.55
end,1705467214.6844182,18.79
start,1705467216.2016842,18.34
end,1705467215.9174936,18.55
start,1705467217.172618,18.16
end,1705467217.667142,18.16
start,1705467218.1835012,18.06
end,1705467218.7832892,18.06
start,1705467219.200108,17.87
end,1705467219.8164132,17.87
start,1705467220.1661155,17.82
end,1705467220.7329798,17.82
start,1705467221.1908972,17.7
end,1705467221.7494302,17.7
start,1705467223.1655493,18.09
end,1705467222.7936406,17.93
start,1705467224.1819663,18.29
end,1705467223.7658315,18.09
start,1705467225.1986337,18.38
end,1705467224.88173,18.29
start,1705467226.178347,18.3
end,1705467225.7476723,18.38
start,1705467227.1811228,18.31
end,1705467226.7136152,18.3
start,1705467228.1977658,18.29
end,1705467227.797438,18.31
start,1705467229.1640425,18.26
end,1705467228.8145335,18.29
start,1705467230.1801991,18.27
end,1705467230.6631694,18.27
start,1705467231.1969442,18.12
end,1705467231.713235,18.12
start,1705467232.163262,18.02
end,1705467232.714286,18.02
start,1705467233.1801412,17.86
end,1705467233.84623,17.86
start,1705467235.1789067,17.69
end,1705467234.8629625,17.78
start,1705467236.1787767,17.61
end,1705467235.6869118,17.69
start,1705467237.1954083,17.62
end,1705467236.82847,17.61
start,1705467238.1783404,17.64
end,1705467237.728551,17.62
start,1705467239.1780317,17.67
end,1705467238.9619,17.64
start,1705467240.1949654,17.73
end,1705467239.6791058,17.67
start,1705467241.178924,17.97
end,1705467241.727783,17.97
start,1705467242.177777,18.19
end,1705467242.74436,18.19
start,1705467243.193491,18.22
end,1705467243.7771785,18.22
start,1705467244.176992,18.16
end,1705467244.6936142,18.16
start,1705467245.1778,18.12
end,1705467245.827058,18.12
start,1705467247.1765065,17.71
end,1705467246.8598087,18.02
start,1705467248.1919684,17.7
end,1705467247.6598895,17.71
start,1705467249.1926389,17.87
end,1705467248.6927898,17.7
start,1705467250.1759539,18.05
end,1705467249.7092638,17.87
start,1705467251.1916134,18.24
end,1705467250.7419107,18.05
start,1705467252.1920276,18.16
end,1705467251.6582437,18.24
start,1705467253.1795883,17.95
end,1705467252.6755269,18.16
start,1705467254.1904058,18.06
end,1705467253.873879,17.95
start,1705467255.1908708,18.18
end,1705467255.7575355,18.18
start,1705467256.1787152,18.3
end,1705467256.6743052,18.3
start,1705467257.1914637,18.41
end,1705467257.7071736,18.41
start,1705467258.1906679,18.45
end,1705467258.7237337,18.45
start,1705467259.173632,18.36
end,1705467259.6563878,18.36
start,1705467261.1897893,18.11
end,1705467260.947112,18.23
start,1705467262.1725717,17.97
end,1705467261.9061613,18.11
start,1705467263.1900873,17.81
end,1705467262.7236252,17.97
start,1705467264.189029,18.02
end,1705467263.9555922,17.81
start,1705467265.1723666,18.16
end,1705467264.7720933,18.02
start,1705467266.1889951,18.04
end,1705467265.7027326,18.16
start,1705467267.2043412,18.04
end,1705467267.7464385,18.04
start,1705467268.1725168,17.9
end,1705467268.7625782,17.9
start,1705467269.1877856,17.81
end,1705467269.7044735,17.81
start,1705467270.2041786,17.64
end,1705467270.7041373,17.64
start,1705467271.1704094,17.42
end,1705467271.7545133,17.42
start,1705467273.203362,17.18
end,1705467272.7539341,17.2
start,1705467274.1699095,17.18
end,1705467273.67,17.18
start,1705467275.186575,17.08
end,1705467274.7029822,17.18
start,1705467276.2029374,16.96
end,1705467275.7361665,17.08
start,1705467277.1696768,16.88
end,1705467276.7527134,16.96
start,1705467278.1858785,16.81
end,1705467277.669516,16.88
start,1705467279.2024257,16.75
end,1705467278.7022257,16.81
start,1705467280.1765742,16.61
end,1705467280.7352169,16.61
start,1705467281.1847637,16.56
end,1705467281.6681645,16.56
start,1705467282.2397678,16.39
end,1705467282.7842352,16.39
start,1705467283.1679177,16.14
end,1705467283.7174618,16.14
start,1705467284.1849341,15.88
end,1705467284.7505212,15.88
start,1705467286.1678376,15.38
end,1705467285.783844,15.61
start,1705467287.1837962,15.12
end,1705467286.6831577,15.38
start,1705467288.1996987,15.04
end,1705467287.783765,15.12
start,1705467289.1661093,14.9
end,1705467288.7331285,15.04
start,1705467290.1825745,14.82
end,1705467289.6498606,14.9
start,1705467291.1989222,14.75
end,1705467290.6788197,14.82
start,1705467292.1658792,14.67
