start,1706261874.2507813,1
start,1706261875.1769524,2
start,1706261876.193763,3
end,1706261875.5773578,2
start,1706261877.2421458,4
end,1706261876.650687,3
start,1706261878.1808524,5
end,1706261878.59722,5
start,1706261879.1976242,6
end,1706261879.62925,6
start,1706261880.252018,7
end,1706261880.6631055,7
start,1706261881.178987,8
end,1706261881.5694191,8
start,1706261882.1925025,9
end,1706261882.5928187,9
start,1706261884.1856182,11
end,1706261883.6590962,10
start,1706261885.1986027,12
end,1706261884.6414294,11
start,1706261886.242943,13
end,1706261885.5989926,12
start,1706261887.1823642,14
end,1706261887.5805957,14
start,1706261888.1944554,15
end,1706261888.636067,15
start,1706261889.2377508,16
end,1706261889.6305807,16
start,1706261890.1751382,17
end,1706261890.576177,17
start,1706261891.2004352,18
end,1706261891.67721,18
start,1706261892.2464678,19
end,1706261892.6509955,19
start,1706261894.200772,21
end,1706261893.6578486,20
start,1706261895.24219,22
end,1706261894.5895393,21
start,1706261896.1895595,23
end,1706261895.6511471,22
start,1706261897.1906135,24
end,1706261896.6276116,23
start,1706261898.2494426,25
end,1706261897.5903366,24
start,1706261899.1819556,26
end,1706261899.625038,26
start,1706261900.1998444,27
end,1706261900.5846112,27
start,1706261901.2390203,28
end,1706261901.88849,28
start,1706261902.1893926,29
end,1706261902.7234726,29
start,1706261903.2009797,30
end,1706261903.7004554,30
start,1706261905.18849,32
end,1706261904.645436,31
start,1706261906.1959975,33
end,1706261905.6403134,32
start,1706261907.2499073,34
end,1706261906.6644838,33
start,1706261908.1902986,35
end,1706261907.636288,34
start,1706261909.1903052,36
end,1706261909.6751554,36
start,1706261910.3230278,37
end,1706261909.6751554,36
start,1706261911.1790798,38
end,1706261911.6418426,38
start,1706261912.2010367,39
end,1706261912.6035328,39
start,1706261913.251015,40
end,1706261913.728837,40
start,1706261914.178257,41
end,1706261914.6103406,41
start,1706261915.1951761,42
end,1706261915.65885,42
start,1706261917.1834772,44
end,1706261916.6488485,43
start,1706261918.200402,45
end,1706261917.5837893,44
start,1706261919.2438254,46
end,1706261918.6363318,45
start,1706261920.187309,47
end,1706261919.6635401,46
start,1706261921.1887522,48
end,1706261921.5963166,48
start,1706261922.250955,49
end,1706261922.73448,49
start,1706261923.2261527,50
end,1706261923.8823693,50
start,1706261924.1992192,51
end,1706261924.725798,51
start,1706261925.2424977,52
end,1706261925.6747808,52
start,1706261926.1887126,53
end,1706261926.9152246,53
start,1706261927.202253,54
end,1706261927.6518426,54
start,1706261929.2156403,56
end,1706261928.6953065,55
start,1706261930.1994293,57
end,1706261929.6416483,56
start,1706261931.2463078,58
end,1706261930.6177118,57
start,1706261932.1913052,59
end,1706261931.643538,58
start,1706261933.202335,60
end,1706261933.6399522,60
start,1706261934.2409852,61
end,1706261934.6423101,61
start,1706261935.1802433,62
end,1706261935.7495506,62
start,1706261936.197944,63
end,1706261936.5825398,63
start,1706261938.1907225,65
end,1706261937.6843147,64
start,1706261939.1916306,66
end,1706261938.606658,65
start,1706261940.2459986,67
