start,0,0
start,1710753629.205122,0.0
start,1710753630.1438413,0.0
start,1710753631.1599905,0.0
start,1710753633.153321,0.0
start,1710753634.1538353,0.0
start,1710753635.2041445,0.0
start,1710753636.155177,0.0
start,1710753637.155854,0.0
start,1710753638.2056963,0.0
start,1710753639.1471658,0.0
start,1710753640.167232,0.0
start,1710753641.2043502,0.0
start,1710753642.153521,0.0
start,1710753643.1572573,0.0
start,1710753644.2162356,0.0
start,1710753646.1668842,0.0
start,1710753646.1668842,0.0
start,1710753648.145288,0.0
start,1710753649.1626012,6.14
start,1710753650.2460191,6.98
start,1710753651.1531897,7.83
start,1710753652.1547077,8.61
start,1710753653.208089,9.73
start,1710753654.181622,10.86
start,1710753655.1661627,11.25
start,1710753656.2161422,11.5
start,1710753657.1534653,11.6
start,1710753659.2094011,11.29
start,1710753660.141969,10.99
start,1710753661.160429,10.67
start,1710753662.203643,10.35
start,1710753663.1427796,10.05
start,1710753664.1647708,9.74
start,1710753665.216618,11.33
start,1710753666.1886246,13.35
start,1710753667.1611207,14.0
start,1710753668.2531605,14.71
start,1710753669.1541548,15.46
start,1710753670.1651323,16.35
start,1710753672.1504645,16.9
start,1710753673.263234,17.02
start,1710753674.2898524,17.27
start,1710753675.1535132,17.58
start,1710753676.1669648,17.96
start,1710753677.20627,18.13
start,1710753678.176369,18.21
start,1710753679.1512494,18.26
start,1710753680.2053378,18.12
start,1710753681.189087,17.8
start,1710753682.1513362,17.46
start,1710753684.1518495,16.79
start,1710753685.1615837,16.46
start,1710753686.2409203,16.16
start,1710753687.1522303,17.29
start,1710753688.1655364,18.21
start,1710753689.2057872,18.6
start,1710753690.1464472,18.9
start,1710753691.1511705,19.07
start,1710753692.2039971,19.28
start,1710753693.1449487,19.41
start,1710753694.164136,19.5
start,1710753696.1419032,19.81
start,1710753697.2725399,19.89
start,1710753698.2018025,19.98
start,1710753699.1535082,19.94
start,1710753700.1583085,19.99
start,1710753701.2443633,20.04
start,1710753702.1529508,20.04
start,1710753703.1566534,20.07
start,1710753704.21562,20.12
start,1710753706.1541493,20.14
start,1710753706.1541493,20.14
start,1710753708.1508532,20.18
start,1710753709.1644201,20.21
start,1710753710.2025142,20.21
start,1710753711.1479583,20.19
start,1710753712.15274,20.18
start,1710753713.2061408,20.11
start,1710753714.1472056,20.01
start,1710753715.165491,19.97
start,1710753716.2019546,19.89
start,1710753717.1524436,19.95
start,1710753718.1633575,19.97
start,1710753720.1514587,20.0
start,1710753721.1542687,19.95
start,1710753722.2127547,19.94
start,1710753723.1537035,19.98
start,1710753724.1619532,20.0
start,1710753725.2138708,20.08
start,1710753726.153266,20.03
start,1710753727.1605399,20.03
